Продукт,Калорийность,Белки,Жиры,Углеводы
Вина сухие белые и красные (в т. ч. шампанское),64 кКал,"0,2 г",0 г,"0,3 г"
"Вино,  десертное, сухое",152 кКал,"0,2 г",0 г,"11,67 г"
"Вино, безалкогольное",6 кКал,"0,5 г",0 г,"1,1 г"
"Вино, десертное, сладкое",160 кКал,"0,2 г",0 г,"13,69 г"
"Вино, кулинарное",50 кКал,"0,5 г",0 г,"6,3 г"
"Вино, легкое",49 кКал,"0,07 г",0 г,"1,17 г"
"Вино, столовое, белое",82 кКал,"0,07 г",0 г,"2,6 г"
"Вино, столовое, белое, Гевюрцтраминер (Gewurztraminer)",81 кКал,"0,07 г",0 г,"2,6 г"
"Вино, столовое, белое, Лэйт Харвест (late harvest)",112 кКал,"0,07 г",0 г,"13,39 г"
"Вино, столовое, белое, Мускат (Muscat)",82 кКал,"0,07 г",0 г,"5,23 г"
"Вино, столовое, белое, Мюллер-Тургау (Muller Thurgau)",76 кКал,"0,07 г",0 г,"3,48 г"
"Вино, столовое, белое, Пино Блан (Pinot Blanc)",81 кКал,"0,07 г",0 г,"1,94 г"
"Вино, столовое, белое, Пино Гри (Pinot Gris (Grigio))",83 кКал,"0,07 г",0 г,"2,06 г"
"Вино, столовое, белое, Рислинг (Riesling)",80 кКал,"0,07 г",0 г,"3,74 г"
"Вино, столовое, белое, Семильон (Semillon)",82 кКал,"0,07 г",0 г,"3,12 г"
"Вино, столовое, белое, Совиньон Блан (Sauvignon Blanc)",81 кКал,"0,07 г",0 г,"2,05 г"
"Вино, столовое, белое, Фюмэ Блан (Fume Blanc)",82 кКал,"0,07 г",0 г,"2,27 г"
"Вино, столовое, белое, Шенен Блан (Chenin Blanc)",80 кКал,"0,07 г",0 г,"3,31 г"
"Вино, столовое, все виды",83 кКал,"0,07 г",0 г,"2,72 г"
"Вино, столовое, красное",85 кКал,"0,07 г",0 г,"2,61 г"
"Вино, столовое, красное, Барбера (Barbera)",85 кКал,"0,07 г",0 г,"2,79 г"
"Вино, столовое, красное, Бургундское (Burgundy)",86 кКал,"0,07 г",0 г,"3,69 г"
"Вино, столовое, красное, Гаме (Gamay)",78 кКал,"0,07 г",0 г,"2,38 г"
"Вино, столовое, красное, Зинфандель (Zinfandel)",88 кКал,"0,07 г",0 г,"2,86 г"
"Вино, столовое, красное, Каберне Фран (Cabernet Franc)",83 кКал,"0,07 г",0 г,"2,45 г"
"Вино, столовое, красное, Кариньян (Carignane)",74 кКал,"0,07 г",0 г,"2,4 г"
"Вино, столовое, красное, Кларет (Claret)",83 кКал,"0,07 г",0 г,"3,01 г"
"Вино, столовое, красное, Лембергер (Lemberger)",80 кКал,"0,07 г",0 г,"2,46 г"
"Вино, столовое, красное, Мерло (Merlot)",83 кКал,"0,07 г",0 г,"2,51 г"
"Вино, столовое, красное, Мурведр (Mouvedre)",88 кКал,"0,07 г",0 г,"2,64 г"
"Вино, столовое, красное, Пино Нуар (Pinot Noir)",82 кКал,"0,07 г",0 г,"2,31 г"
"Вино, столовое, красное, Пти Шираз (Petite Sirah)",85 кКал,"0,07 г",0 г,"2,68 г"
"Вино, столовое, красное, Санджовезе (Sangiovese)",86 кКал,"0,07 г",0 г,"2,62 г"
"Вино, столовое, красное, Шираз (Syrah)",83 кКал,"0,07 г",0 г,"2,58 г"
Водка,235 кКал,0 г,0 г,"0,4 г"
"Водка, дистиллированная, 80 градусов (40 проц. спирта)",231 кКал,0 г,0 г,0 г
"Дайкири, консервированный",125 кКал,0 г,0 г,"15,7 г"
"Дайкири, приготовленный по рецепту",186 кКал,"0,06 г","0,06 г","6,84 г"
"Джин, ром, водка, виски, дистиллированные, 100 градусов (50 проц. спирта)",295 кКал,0 г,0 г,0 г
"Джин, ром, водка, виски, дистиллированные, 80 градусов (40 проц. спирта)",231 кКал,0 г,0 г,0 г
"Джин, ром, водка, виски, дистиллированные, 86 градусов (43 проц. спирта)",250 кКал,0 г,0 г,"0,1 г"
"Джин, ром, водка, виски, дистиллированные, 90 градусов (45 проц. спирта)",263 кКал,0 г,0 г,0 г
"Джин, ром, водка, виски, дистиллированные, 94 градуса (47 проц. спирта)",275 кКал,0 г,0 г,0 г
"Коктейль, Виски Сауэр, консервированный",119 кКал,0 г,0 г,"13,3 г"
"Коктейль, Виски Сауэр, приготовленный из виски и воды",164 кКал,"0,1 г","0,02 г","15,85 г"
"Коктейль, Виски Сауэр, приготовленный из продукта N14028",153 кКал,"0,06 г","0,06 г","12,82 г"
"Коктейль, Виски Сауэр, приготовленный из продукта N14530",149 кКал,0 г,"0,03 г","13,17 г"
Коньяк ординарный «три звездочки»,239 кКал,0 г,0 г,"1,5 г"
Ликер Вишневый,299 кКал,0 г,0 г,40 г
"Ликер, Creme de Menthe (Мятный Крем Зеленый), 72 градуса (36 проц спирта)",371 кКал,0 г,"0,3 г","41,6 г"
"Ликер, кофе со сливками, 34 градуса (17 проц. спирта)",327 кКал,"2,8 г","15,7 г","20,9 г"
"Ликер, кофейный, 53 градусов (26,5 проц. спирта)",336 кКал,"0,1 г","0,3 г","46,8 г"
"Ликер, кофейный, 63 градуса (31,5 проц. спирта)",308 кКал,"0,1 г","0,3 г","32,2 г"
Наливка «Сливянка»,215 кКал,0 г,0 г,28 г
"Настойка горькая ""Русский сувенир""",248 кКал,0 г,0 г,"6,4 г"
Пиво Жигулёвское,37 кКал,"0,6 г",0 г,"4,8 г"
"Пиво светлое, с долей сухих в-в в исходном сусле 11%",42 кКал,"0,3 г",0 г,"4,6 г"
"Пиво светлое, с долей сухих в-в в исходном сусле 20%",75 кКал,"0,4 г",0 г,"7,6 г"
"Пиво темное, с долей сухих в-в в исходном сусле 13%",48 кКал,"0,3 г",0 г,"5,7 г"
"Пиво темное, с долей сухих в-в в исходном сусле 20%",74 кКал,"0,4 г",0 г,"8,7 г"
"Пиво, обычное, BUDWEISER",41 кКал,"0,36 г",0 г,"2,97 г"
"Пиво, обычное, все виды",43 кКал,"0,46 г",0 г,"3,55 г"
"Пиво, светлое",29 кКал,"0,24 г",0 г,"1,64 г"
"Пиво, светлое, BUD LIGHT",29 кКал,"0,25 г",0 г,"1,3 г"
"Пиво, светлое, BUDWEISER SELECT",28 кКал,"0,2 г",0 г,"0,87 г"
"Пиво, светлое, MICHELOB ULTRA",27 кКал,"0,17 г",0 г,"0,73 г"
"Пинаколада, консервированная",237 кКал,"0,6 г","7,6 г","27,5 г"
"Пинаколада, приготовленная по рецепту",174 кКал,"0,42 г","1,88 г","22,36 г"
"Ром, дистиллированный, 80 градусов (40 проц. спирта)",231 кКал,0 г,0 г,0 г
"Саке, рисовая водка",134 кКал,"0,5 г",0 г,5 г
"Текила Санрайз, консервированная",110 кКал,"0,3 г","0,1 г","11,3 г"
Авокадо,160 кКал,2 г,"14,66 г","1,83 г"
"Авокадо, Калифорнийские, сырые",167 кКал,"1,96 г","15,41 г","1,84 г"
"Авокадо, Флоридские, сырые",120 кКал,"2,23 г","10,06 г","2,22 г"
Агава приготовленная,135 кКал,"0,99 г","0,29 г","21,4 г"
Агава сушеная,341 кКал,"1,71 г","0,69 г","66,38 г"
Агава сырая,68 кКал,"0,52 г","0,15 г","9,63 г"
Айсберг (салат кочанный),14 кКал,"0,9 г","0,14 г","1,77 г"
"Амарант листья, вареные, без соли",21 кКал,"2,11 г","0,18 г","4,11 г"
"Амарант листья, сырые",23 кКал,"2,46 г","0,33 г","4,02 г"
